,A4,A5,A6,A9,A9_2_TEXT,B2,B5,B6,B6_8_TEXT,B8,B9,B9_9_TEXT,B10,B11,B11_1_TEXT,B12,B13,B14,B15,B15_1_TEXT,B16,B17,B17_1_TEXT,B18,C1,C2,C3,C4,C5,C6,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D11_1_TEXT,D11_2_TEXT,D11_3_TEXT,D12,D13,D14_NPS_GROUP,D14,D15,E1,E2,E3,E3_6_TEXT,E4_NPS_GROUP,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F7_1_TEXT,F8,F8_1_TEXT,B3_B4_Combined,Distribution,Logistics/ Transport,Production,Aggregation (group buying for reselling),Processing,Agri-Services - Inputs supply,B13_Combined,D3_Combined
167,Single,High School ,06/01/1984,Côte d'Ivoire,,Cooperative,61.0,"More than 3, specify",8.0,La coopérative compte 61 femmes actives . ,"Other, specify",Les femmes baoulées de Bonahouin qui font de l'attieké.,No,No,,Local Markets ,Less than 1 million,Le Maraîcher,"Yes, specify",produisons,directrice,Oui,Societe Cooperative,Statuts et règlements intérieurs,Aucun,Aucun,Les femmes gouros d'Abidjan. Car nous n'avons pas d'autres marchés,No,Nous louons les tricycles pour transporter nos produits bord champ au village,Problème de camion,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Operational loan (working capital) ,Product financing (fertilizers, seeds, pesticides)",Between 5 and 25 millions,February ,More than 3 years,Every year,Inputs,No,,,,,,,Yes,COOPEC ,Passive,8,Parce qu'ils nous aident souvent avec les près,Yes for personal expenditures,Daily,Transfer money,,Passive,7,Parce grâce à ça je reçois l'argent de la vente de mes produits sans me déplacer. Mais j'ai peur des arnaqueurs,No,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,No,Yes,More than 90%,More than 90%,No,More than 90%,"Yes, explain","Yes, explain",Car le vivre ensemble est devenu une réalité. Nous nous aidons pendant les cérémonies et dans nos différents travaux champêtre.,"Yes, explain",Parce que nous travaillons toute l'année. Et vivons de ça.,61.0,0,0,1,0,0,0,800000.0,20000000.0
168,Single,Professional training ,1976,Côte d'Ivoire,,Cooperative,1.0,"More than 3, specify",7.0,"Production, la collecte, transformation, et commercialisation de l'attiéké",,,No,No,,"Local Markets ,Regional Markets ",Between 5 and 25 millions,Cassava,No,,présidente,Oui,Societe Cooperative,Statuts et règlements intérieurs,Coopérative ,Producteurs de manioc ,Clients Abidjan et Ahoutoue ,No,Un Tricycle ,Par manque de sèchoire ,"Agri - Transport (financing for vehicle),Operational loan (working capital) ",Between 5 and 25 millions,February ,Between 3 months and a year,Every month,Inputs,No,,,,,,,Yes,COOPEC ,Detractor,5,Cette structure est à notre écoute ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills",,Detractor,6,C'est le moyen le plus simple ,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,Yes,More than 90%,21-30%,No,31-40%,No,"Yes, explain",Permet aux femmes de se prendre à charge ,"Yes, explain",La coordination a une durée de vie de 99 ans,122.0,0,0,0,0,1,0,,
169,Married,Professional training ,1984,Côte d'Ivoire,,Exporters,1.0,3,,"production de farine, chips, biscuits et spaghettis ",Abidjan ,,No,No,,International Markets,Between 5 and 25 millions,Cassava,"Yes, specify",achète,directeur,Oui,SARL,Registre de commerce,aucune ,les paysans ,tanderm ,No,location de  voiture ,manques de financement ,Agri Cash (liquidities),Between 25 and 50 millions,January ,Between 1 and 3 months,Every trimester,Logistics,No,,,,,,,Yes,ADVANS,Promoter,10,parceque nous souhaitons tous le bonheur du monde des affaires ,Yes for personal and business expenditures,Daily,Pay producers/ farmers,,Promoter,10,ils permettent de sécuriser les mouvements financiers ,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,No,81-90%,81-90%,No,51-60%,"Yes, explain","Yes, explain",car elle offre de l'emploi à la communauté ,"Yes, explain",on a toujours besoin de la nourriture pour vivre ,50.0,0,0,0,0,1,0,,30000000.0
170,Single,None ,3,Côte d'Ivoire,,Interprofession ,5.0,"More than 3, specify",7.0,Poroduct,Abidjan ,,Yes,No,,Regional Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",,,Oui,,Registre de commerce,T,G,Cou,No,Ba,R,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Trade finance for export ",Between 25 and 50 millions,"April ,May ",More than 3 years,Every month,Labor ,Yes,,,,,,,Yes,,Passive,7,H,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills",,Promoter,10,G,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,No,71-80%,81-90%,No,10-20%,"Yes, explain","Yes, explain",R,"Yes, explain",G,7.0,0,0,0,0,1,0,,
171,Single,Primary,23/05/1978,Côte d'Ivoire,,Cooperative,2.0,Between 6 months and a year ,,Production,Bouaké ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",produition,gerant,Oui,Nous sommes legalement constitue,Registre de commerce,Facsvci coop ca,Population locaux,Population locaux,No,Avec beacoup de dificulte,Manque d ecoulement de nos prosuits,Agri - Transport (financing for vehicle),Between 5 and 25 millions,June ,Between 1 and 3 months,Every year,Charges ,No,,,,,,,Yes,ADVANS,Detractor,4,Non parcque elle ne veux pas aide leq producteurs du vivrier,Yes for personal expenditures,Weekly ,Transfer money,,Detractor,4,Le cout est eleve,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,21-30%,Less than 10%,No,10-20%,"Yes, explain","Yes, explain",Nous permets de travailler dans le formel,No,,26.0,0,0,1,0,0,0,,
172,Single,Primary,01/011/1968,Côte d'Ivoire,,Cooperative,3.0,Between 6 months and a year ,,Producteurs,Bouaké ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",produisons,,Oui,Legalement,Registre de commerce,Facsvci,Marche locaux,Marche locaux,No,Manque de moyen,Maque de moyen pour achete un camion ou des moto trois roues,Agri Cash (liquidities),Between 1 and 5 millions,June ,Between 1 and 3 months,Every year,Charges ,No,,,,,,,No,,Detractor,6,Nous avons de comptes,No,Monthly ,Pay bills,,Detractor,5,Je ne fais. Pas,No,"Technical assistance, Coaching, Mentoring",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,Yes,10-20%,21-30%,No,21-30%,"Yes, explain","Yes, explain",Nous aide pour obtenir une bonne production,No,,15.0,0,0,1,0,0,0,,
173,Widowed,Professional training ,26/10/1962,Côte d'Ivoire,,Other,25.0,"More than 3, specify",,Nous sommes une ong qui intervenons dans la production de vivrier pour aider les femmes a etre autonomisees,Daloa,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",piment,presidente,Oui,Ong,Statuts et règlements intérieurs,Fenascovici,Anader et autres organismes prives,Les femmes revendeurs en gros,No,Location de vehicule,Moyens de trasport trop chere,Operational loan (working capital) ,Between 1 and 5 millions,March ,Between 3 months and a year,Every semester,Labor ,No,,,,,,,Yes,GTBank ,Promoter,9,C'est le seul moyen dont nous disposons pour avoir des fonds pour nos projets.,Yes for personal expenditures,Daily,Other :,Pour les besoins personnels,Passive,8,"On maitre de la gestion, seulement, c'est des petites transactions pour le quotidien",No,"Technical assistance, Coaching, Mentoring",Comment bien rembourser son crédit,No,Yes,<10%,21-30%,No,51-60%,"Yes, explain","Yes, explain","Oui. C'est pour la paix et la vie, apporter le bien etre social","Yes, explain",Nous une techinicite pour amener la production a etre durable,,0,0,1,0,0,0,,
174,Married,University,1985,Côte d'Ivoire,,Cooperative,1.0,3,,"Nous produisons du manioc, que nous transformons en placali et attiéké pour vendre",Abidjan ,,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,No,,directrice,Oui,Societe Cooperative,Aucun document,FPTM-CI,ANADER en bouture de manioc,"Ce sont les femmes du marché Adjamé et Yopougon. Car, elles commandent l'ATTIEKE et le PLACALI que nous leur livrons sur Abidjan",No,On fait de la location de mobilité en camion ou tricycle,"Le manque de contrat professionnel entre partenaires. Ce qui occasionne des mésententes dans les transactions, et aussi le manque de matériel pour répondre à la demande des marchés internationaux.","Agri - Transport (financing for vehicle),Operational loan (working capital) ",More than 250 millions,July ,Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Detractor,6,Ils ne prêtent pas aux coopératives,Yes for personal and business expenditures,Daily,Other :,Pour toutes les utilités,Promoter,10,"Fiable, moins cher, disponible partout en Cöte d'Ivoire",No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,More than 90%,More than 90%,No,More than 90%,"Yes, explain","Yes, explain","Création d'emploi direct et indirect, réduction du chômage, autonomisation de la femme","Yes, explain",La demande en PLACALI et ATTIEKE ne fait qu'augmenter,5.0,0,0,1,0,1,1,,15000000.0
175,Single,High School ,19/05/1971,Côte d'Ivoire,,Women’s association ,7.0,"More than 3, specify",,"Fédération de femmes exerçant plus dans domaine agricole  nous produisons, ,nous transformons et vendons . Le pla Ali et parfois l'attieké","Other, specify",Abengourou ,,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,"Yes, specify",,présidente,Oui,Faîtière (plusieurs Associations),Statuts et règlements intérieurs,(FAFE-ID) fédération des Associations des Femmes Victorieuses pour l'Emergence de l'l'Ideniié-Djuablun.,Nous mêmes et individuellement nous acheteurs chez les autres producteurs.,Nous vendons aux clientes du nord-est et du Burkina ,No,Les gros camions qui font le tirage Abengourou -Burkina ,Problème de transport pour faire sortir nos produits à borts champ et pour le transférer au clientes ce sur le Burkina.,"Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides),Trade finance for export ",Between 5 and 25 millions,"January ,February ,March ,April ,May ,June ,July ,August,September ,October ,November ,December",Between 3 months and a year,Every trimester,Labor ,No,,,,,,,Yes,,Detractor,2,"Les taux d'intérêts, les frais d'entretien élevés ",Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Other :",Les clientes et nous travaillons beaucoup par les transfertset mobile Money et autres ,Promoter,9,"Actuellement le service et très bon nous pouvons épargner, faire les transactions à moindre coûtes.",,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,10-20%,More than 90%,No,51-60%,"Yes, explain","Yes, explain",Parce que l'activité permet à celles qui travaillent de pourvoir à les besoins et la communauté aussi arrive à se nourrir ça permet au faite de combler un vite lutter contre la famine.,"Yes, explain",Je peux dire oui parce que ça nous permet de ne manquer de matière première (manioc),600.0,0,0,1,0,1,0,800000.0,10000000.0
176,Married,University,07/05/1974,Côte d'Ivoire,,Women-Led SME,15.0,2,,Nous transformons le manioc et les produits vivriers. ,"Other, specify","Man, Abidjan et Bouaké",No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,"Yes, specify",banane,directrice,Oui,"Registre de commerce
Déclaration d'existence fiscale
Déclaration CNPS",Registre de commerce,UqSoCOVIE ET INTERMANIOC/ADFMA,Particulier,Coopérative,No,Camion en location,Les prix que nous proposent les acheteurs ne nous permettent pas d'être rentables,"Agri Cash (liquidities),Agri - Equipment (financing for equipment),Leasing (equipment, transport/logistics) ",Between 5 and 25 millions,May ,Between one and 3 years ,Every month,Logistics,No,,,,,,,Yes,ADVANS,Detractor,6,Elles nous aident dans la croissance de notre entreprise,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay business suppliers",,Passive,7,Un allié de sécurité,No,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,Yes,Yes,51-60%,41-50%,Yes,51-60%,No,"Yes, explain",Les femmes peuvent s'occuper de leurs familles,"Yes, explain",Pérennisation des activités,3.0,0,0,0,0,1,0,15.0,20000000.0
177,Married,University,1990,Côte d'Ivoire,,Women’s association ,1.0,"More than 3, specify",,Notre association pour permettre aux membres de s'autonomiser  produit du manioc que nous transformons en attieke et placali pour vendre,Abidjan ,,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,No,,directrice,Oui,Association,Statuts et règlements intérieurs,FPTM-CI,Nous principal fournisseurs est l'anader pour les boutures,Nos principaux acheteurs sont les femmes du marché d'adjame et yopougon,No,Nous louons des tricycles pour faire sortir les produits en bordures de route et les  bâchées avec les transporteur et ceux ci acheminent la marchandise,Difficultés d'établir des contrats professionnels entre les partenaires et un manque de matériels adéquat pour répondre à la demande du marché international ,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 5 and 25 millions,July ,Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Detractor,6,Ces structures ne prêtent pas aux petits producteurs de manioc,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers,Pay business suppliers",,Promoter,10,"Rapidité, fiabilité, accessibilité partout en cote d'ivoire et coût moins cher",No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,No,Yes,More than 90%,More than 90%,No,81-90%,"Yes, explain","Yes, explain",Oui nous aidons les jeunes femmes à avoir un revenu afin de se prendre en charge ,"Yes, explain",Nous privilégions les produits biologiques,5.0,0,0,1,0,1,0,,15000000.0
178,Married,University,1975,Côte d'Ivoire,,Family-Led SME,3.0,"More than 3, specify",,Unité de production et d'exportation de produits dérivés de manioc et céréales,Abidjan ,,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 5 and 25 millions,Cassava,"Yes, specify",céréales,,Oui,Entreprise individuelle,Registre de commerce,,Nous fournissons à 80% sur le marché de manioc de samanke,Europe,No,Taxi et bâché,,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Trade finance for export ,Insurance",Between 5 and 25 millions,,Between one and 3 years ,Every month,Labor ,Yes,,Operational loan (working capital) ,,,,,Yes,,Promoter,9,Elles financement,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay business suppliers",,Promoter,9,Transfert facile et fiable,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,No,81-90%,81-90%,No,10-20%,"Yes, explain","Yes, explain",Nos modèles économiques aidé à l'épanouissement des femmes et leurs insertions,"Yes, explain",L'emploi est pour de long terme,14.0,0,0,0,0,1,0,,
179,Married,Professional training ,01/08/1992,Côte d'Ivoire,,Cooperative,23.0,"1,5",,Dynamisme et rigueur,"Other, specify",Man/ sangouiné,No,No,,Local Markets ,Between 1 and 5 millions,Manioc et maïs,"Yes, specify",manioc,directeur,Oui,Societe Cooperative,Déclaration fiscale d'existence DFE,Faîtière man,Les membres de la société coopérative,Les commerçantes de gros,No,Dépôt vente,Problème de transport,"Leasing (equipment, transport/logistics) ",Between 1 and 5 millions,March ,Between one and 3 years ,Every trimester,Logistics,No,,,,,,,,,Detractor,5,"Je l'ai fais confiance, par ce qu'il offre une opportunité aux autres d'être autonome.",Yes for personal and business expenditures,Daily,Transfer money,,Detractor,5,Vu qu'il offre un service plus simple.,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,No,31-40%,31-40%,Yes,51-60%,"Yes, explain","Yes, explain",L'autonomisation des membres,"Yes, explain",C'est rotationelle,31.0,0,0,1,0,0,0,,
180,Divorced,Professional training ,05/04/1980,Côte d'Ivoire,,Women’s association ,1.0,3,,Nous produisons du manioc que nous transformons en placali et attiéké pour vendre.,Yamoussoukro ,,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,No,,directrice,Oui,Societe Cooperative,Statuts et règlements intérieurs,FPTM-CI,ANADER,les femmes qui transforment l'attiéké dans les quartier et au marché,No,tricycle et location de camion benne ,"les banquent refusent de nous financer ainsi que le gouvernement, manque de matériel pour une production à la demande internationale.","Agri Cash (liquidities),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 1 and 5 millions,July ,Between one and 3 years ,Every semester,Charges ,No,,,,,,,No,,Promoter,9,accessible pour tout le monde et pret à accompagner les femmes,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay employees ,Pay producers/ farmers",,Promoter,10,"fiable, moins cher, rapide et accessible partout",No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,Yes,More than 90%,More than 90%,No,More than 90%,"Yes, explain","Yes, explain",création d'emploi directe ou saisonnier pour les femmes,"Yes, explain",le modele est durable et la demande de placali et attiéké ne fait que augmenter,7.0,0,0,1,0,1,0,35000000.0,35000000.0
181,Married,University,1990,Côte d'Ivoire,,Women-Led SME,1.0,Between 6 months and a year ,,"Production, achat et revente",Abidjan ,,Yes,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",piment,directrice,Oui,SARL,Registre de commerce,Aucune,Les petits producteurs ,Marchés et super Marchés,No,Camion loué,"Lobbing, méconnaissance des acheteurs ","Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides)",Between 50 and 100 millions,"January ,February ,March ",Between one and 3 years ,Every trimester,Logistics,No,,,,,,,Yes,Cofina ,Passive,7,Ils sont un moyen fiable pour obtenir un pret,Yes for personal and business expenditures,Daily,"Pay employees ,Pay producers/ farmers,Pay business suppliers",,Detractor,5,,No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,<10%,Less than 10%,No,10-20%,"Yes, explain","Yes, explain",Source de revenus additionnel ,"Yes, explain",,3.0,0,1,1,1,0,0,,
182,Single,Professional training ,25/03/1990,Côte d'Ivoire,,Other,,"More than 3, specify",14.0,Une association mixte de jeunes sénoufo qui œuvre dans l'agriculture. Surtout le manioc et les maraîchers,"Other, specify",Des femmes venant de korhogo ,No,No,,Regional Markets ,Less than 1 million,Cassava,"Yes, specify",maraîchers,secrétaire,Oui,,Statuts et règlements intérieurs,,,Les femmes venant des marchés régionaux,No,Nous louons les motos à trois roues doté d'une Baine,Moyen de transport et puis souvent manque d' acheteurs sur place,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Product financing (fertilizers, seeds, pesticides),Trade finance for export ",Between 1 and 5 millions,March ,Between one and 3 years ,Every trimester,Charges ,No,,,,,,,Yes,COOPEC ,,,,Yes for personal expenditures,Monthly ,"Transfer money,Pay bills",,Passive,8,,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,No,<10%,10-20%,No,,"Yes, explain","Yes, explain",Ça nous aide véritablement dans notre quotidien,No,,,0,0,0,0,0,1,100000.0,5000000.0
183,Married,None ,1965,Côte d'Ivoire,,Cooperative,215.0,"More than 3, specify",8.0,"structure basée sur les principes coopératifs en collaboration avec les coopérateurs, qui produit le Manioc et le Riz","Other, specify",Région du Tonkpi,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,No,,responsable,Oui,Societe Cooperative,Registre de commerce,FENASCOVICI,Commerçants locaux et les marchés locaux,les transformateurs de Manioc en produits dérivés de grandes consommation,No,la location d'engins,le rackette des agents de sécurité et le cout élevé du transport,"Agri Cash (liquidities),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ",Between 50 and 100 millions,February ,More than 3 years,Every year,Logistics,No,,,,,,,Yes,COOPEC ,Detractor,5,Les institutions financières compliquent parfois les retraits et sont souples lors des versements,Yes for personal expenditures,Daily,Transfer money,,Detractor,5,il existe beaucoup trop d'arnaqeurs,C'est une association de plus de 200 Femmes dont je suis la présidente,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,81-90%,81-90%,Yes,81-90%,No,"Yes, explain","Elle est pourvoyeuse d'emploi, elle permet aux familles de se prendre en charge",No,,215.0,0,0,1,0,1,0,500000.0,100.0
184,Married,Professional training ,1966,Côte d'Ivoire,,Cooperative,3186.0,"More than 3, specify",9.0,"la coopérative fonctionne sur le principe de la loi coopérative, elle produits et vend la Banane, le Manioc transformé et le Mais","Other, specify","Abidjan, Soubré, Biankouma, San-pedro",No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,Cassava,"Yes, specify",,responsable,Oui,Societe Cooperative,Registre de commerce,FENASCOVICI,commerçants locaux,les marchés locaux,No,la location de véhicule,difficultés pour avoir des grossistes,"Operational loan (working capital) ,Leasing (equipment, transport/logistics) ",Between 25 and 50 millions,"January ,February ,March ,April ,May ,June ,November ,December",More than 3 years,Every trimester,Logistics,No,,,,,,,Yes,COOPEC ,Detractor,5,les institutions financières sont parfois compliquées en matière de financement dans le secteur agricole en général et le vivrier en particulier,Yes for personal and business expenditures,Weekly ,Transfer money,,Detractor,4,la monnaie est virtuelle donc peut disparaitre à tout moment et le fléaux des arnaques y est très développé,une tontine local de soutien,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,More than 90%,81-90%,No,81-90%,No,"Yes, explain",les femmes arrivent a s'occuper convenablement de leur petites familles avec les revenus issus des ventes réalisées,No,,286.0,0,0,1,0,1,0,28.0,50.0
185,Single,High School ,1974,Côte d'Ivoire,,Cooperative,15.0,"More than 3, specify",7.0,"Notre coopérative produit du vivrier, nous transformons le manioc et nous transformons aussi l’apki, et nous commercialisons nos produits",Yamoussoukro ,,No,No,,"Local Markets ,Regional Markets ",Between 1 and 5 millions,"Piments, gombo, tomate , aubergines ","Yes, specify",lapki,présidente,Oui,Societe Cooperative,Statuts et règlements intérieurs,Fenascovici ,Mes producteurs ,Les marchés d’Abidjan ,No,Nous louons les camions qui nous reviennent trop chers,"Manque d’information, pas de camions, manque de route, manque de financement approprié ","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Product financing (fertilizers, seeds, pesticides),Insurance",Between 5 and 25 millions,"February ,July ",Between 3 months and a year,Every month,Logistics,No,,,,,,,Yes,GTBank ,Promoter,9,"Elle peuvent nous suivre, nous conseiller et permettre à notre coopérative d’aller de lavant ",Yes for personal and business expenditures,Weekly ,"Transfer money,Pay producers/ farmers,Pay business suppliers",,Promoter,9,C’est plus pratique ,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,81-90%,81-90%,No,71-80%,No,"Yes, explain",Permis aux femmes de gagner en autonomie ,"Yes, explain","Chaque producteur a sa parcelle où il
Produit",300.0,1,0,1,0,1,0,,
186,Single,Primary,1 janvier 1955,Côte d'Ivoire,,Women’s association ,3.0,3,,Préparation et vente d'attieke,"Other, specify",Daoukro,No,No,,Local Markets ,Less than 1 million,Cassava,No,,présidente,Non,,Aucun document,,Les producteurs de manioc,Les vendeuses d'attieke,No,Des commerçants nous avoirs le manioc sur des marchés et nous achetons,Si on pouvait payer avec les producteurs,Agri Cash (liquidities),Between 1 and 5 millions,January ,More than 3 years,Every month,Charges ,No,,,,,,,No,,Detractor,6,Je ne connais pas véritablement,Yes for personal expenditures,Daily,Transfer money,,Promoter,9,Pour avoir déjà utilisé,No,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,No,Yes,81-90%,More than 90%,No,51-60%,"Yes, explain","Yes, explain",Tous les vendeuses ont chaque semaine une entrée d'argent,"Yes, explain",,10.0,0,0,1,0,0,0,,0.0
187,Married,University,25/03/1959,Côte d'Ivoire,,Cooperative,475.0,"More than 3, specify",10.0,"Société Coopérative avec Conseil d'Administration. compte tenu du nombre, nécessité de création de section pour une meilleure efficacité des produits vendus; manioc, placali, gombo, huile de palme, riz, aubergine.","Other, specify","Danané, Sangouiné, Man, Odiéné, Touba",No,No,,"Local Markets ,Regional Markets ",Between 5 and 25 millions,"placali, riz","Yes, specify",coopérative,présidente,Oui,Societe Cooperative,Statuts et règlements intérieurs,FENACOVICI,Les membres de la Coopérative sont majoritairement productrices donc fournisseurs,les marchés de la région,No,location de KIA et de motoculteur remorque ,groupage et transport,"Operational loan (working capital) ,Leasing (equipment, transport/logistics) ",Between 5 and 25 millions,April ,Between one and 3 years ,Every year,Logistics,No,,,,,,,Yes,COOPEC ,Detractor,5,"il y a confiance quant à la conservation, l'éventualité de prêt. sécurisation des moyens. les problèmes avec ces institutions financières c'est le refus de vous accompagner après; quand vous sollicitez un autre prêt. selon eux, quand vous avez reçu deux prêts ils considèrent que les deux premiers vous ont permis de palier à toute éventualité. ils ignorent ou font semblant d'ignorer que dans le domaine agricole on subit la loi du temps (pluvieux, sec...), du marché.",Yes for personal and business expenditures,Daily,Transfer money,,Detractor,5,il y a la confiance mise aux services mobiles mais derrière ça il y a la crainte des arnaques,No,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,No,Yes,81-90%,81-90%,No,51-60%,"Yes, explain","Yes, explain",,"Yes, explain","le manioc a deux qualités:
- celui qu'on cultive pour en faire le foutou manioc
- celui qu'on cultive pour en faire le placali qu'on appelle le manioc ''Yacé''
le manioc est une production durable. juste le déterrer au moment opportun. le Yacé quant à lui est une production durable, le sol dans notre zone nous facilite cette production durable.",805.0,0,0,1,0,0,0,,15000000.0
188,Married,Professional training ,01/01 1958,Côte d'Ivoire,,Economic Interest Group,5.0,Between 3 and 6 months ,,Nous sommes une  structure bien organisée et et nous sommes investi dans la chaîne des valeurs depuis la production jusqu'à la consommation du manioc,Bouaké ,,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 25 and 50 millions,Cassava,"Yes, specify",larrachide,coordonnateur,Oui,SARL,Statuts et règlements intérieurs,ADFMA-CI,Nader pour les boutures,LADY AGRI,Yes,"Le camions véhicules KIA,LES tricycles ",Les problèmes de déréglementation les douanes ,Operational loan (working capital) ,,February ,Less than a month,Every year,Logistics,No,,,,,,,Yes,Fin’Elle,Promoter,10,La promptitude dans les financements,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills",,Promoter,10,La proximité et la rapidité,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,Yes,31-40%,31-40%,No,51-60%,"Yes, explain","Yes, explain","Oui elle permet de sortir certaines familles de la pauvreté,aide des femmes à soutenir leur mari et scolariser leurs enfants","Yes, explain",Parce que le manioc n'est pas une culture destructrice elle est utiles depuis les boutures jusqu'aux feuilles.,800.0,1,0,1,0,1,0,,
189,Married,Professional training ,1994,Côte d'Ivoire,,Family-Led SME,4.0,Between 6 months and a year ,,Nous achetons du manioc puis nous le revendons aux femmes qui font de l'article.,"Other, specify",Akoupé,No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",produisons,directrice,Non,,Statuts et règlements intérieurs,Aucune,Les cultivateurs,Les femmes,No,Les camions de transport en commun,Principalement des problèmes logistiques,Operational loan (working capital) ,Between 1 and 5 millions,March ,Between 1 and 3 months,Every semester,Logistics,No,,,,,,,Yes,Société générale (SGBCI),Promoter,9,C'est ce qu'il y a de plus crédible dans nos pays.,Yes for personal and business expenditures,Daily,Transfer money,,Detractor,6,Moyen rapide de payement et c'est fiable,Groupe de tontine pour s'entraider,"Technical assistance, Coaching, Mentoring",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,Yes,More than 90%,More than 90%,No,51-60%,No,"Yes, explain",Grâce à cette activité des femmes financent les études de leurs enfants et arrivent à subvenir aux besoins de leurs familles.,"Yes, explain",Nous disposons de superficies culturales assez suffisantes pour pérenniser notre activité.,3.0,0,0,0,1,0,0,250.0,
